"TDSv30 V01R12 V01 R12 EGLASS20 NGAS PVSTD  /  Proposed  /  2022_CZ12_2100ft2_Std_3_BR_HPWH_NEEA.ribd22  /  C:/Users/sbecker/IECC HPWH Runs/inlet_ambient_air_temp/2022_CZ12_2100ft2_Std_3_BR_HPWH_NEEA - batch/",001
"Mon 20-Dec-21   4:24:35 pm"
"DHWhr","Hour"
"Julien","Mo","Day","DOWH","Hour","t_outdoor_drybulb","t_Inlet"
1,1,1,8,1,48.02,53.9744
1,1,1,8,2,48.38,53.9744
1,1,1,8,3,48.56,53.9744
1,1,1,8,4,48.92,53.9744
1,1,1,8,5,50,53.9744
1,1,1,8,6,48.56,53.9744
1,1,1,8,7,48.92,53.9744
1,1,1,8,8,48.74,53.9744
1,1,1,8,9,48.56,53.9744
1,1,1,8,10,48.74,53.9744
1,1,1,8,11,48.74,53.9744
1,1,1,8,12,48.38,53.9744
1,1,1,8,13,50,53.9744
1,1,1,8,14,50,53.9744
1,1,1,8,15,50.18,53.9744
1,1,1,8,16,50.9,53.9744
1,1,1,8,17,51.44,53.9744
1,1,1,8,18,50.9,53.9744
1,1,1,8,19,48.92,53.9744
1,1,1,8,20,48.74,53.9744
1,1,1,8,21,47.84,53.9744
1,1,1,8,22,46.04,53.9744
1,1,1,8,23,45.86,53.9744
1,1,1,8,24,44.78,53.9744
2,1,2,6,1,44.24,53.9927
2,1,2,6,2,42.8,53.9927
2,1,2,6,3,42.98,53.9927
2,1,2,6,4,42.08,53.9927
2,1,2,6,5,41,53.9927
2,1,2,6,6,41,53.9927
2,1,2,6,7,42.08,53.9927
2,1,2,6,8,42.08,53.9927
2,1,2,6,9,42.98,53.9927
2,1,2,6,10,44.78,53.9927
2,1,2,6,11,44.96,53.9927
2,1,2,6,12,46.04,53.9927
2,1,2,6,13,48.02,53.9927
2,1,2,6,14,48.92,53.9927
2,1,2,6,15,48.92,53.9927
2,1,2,6,16,48.74,53.9927
2,1,2,6,17,47.84,53.9927
2,1,2,6,18,46.76,53.9927
2,1,2,6,19,44.6,53.9927
2,1,2,6,20,41.18,53.9927
2,1,2,6,21,40.82,53.9927
2,1,2,6,22,38.84,53.9927
2,1,2,6,23,36.86,53.9927
2,1,2,6,24,35.06,53.9927
3,1,3,7,1,34.52,53.9129
3,1,3,7,2,31.1,53.9129
3,1,3,7,3,32.9,53.9129
3,1,3,7,4,32,53.9129
3,1,3,7,5,30.74,53.9129
3,1,3,7,6,30.74,53.9129
3,1,3,7,7,29.12,53.9129
3,1,3,7,8,31.46,53.9129
3,1,3,7,9,36.5,53.9129
3,1,3,7,10,41.54,53.9129
3,1,3,7,11,45.14,53.9129
3,1,3,7,12,46.22,53.9129
3,1,3,7,13,48.02,53.9129
3,1,3,7,14,48.2,53.9129
3,1,3,7,15,48.74,53.9129
3,1,3,7,16,48.02,53.9129
3,1,3,7,17,46.4,53.9129
3,1,3,7,18,44.42,53.9129
3,1,3,7,19,39.74,53.9129
3,1,3,7,20,37.94,53.9129
3,1,3,7,21,37.58,53.9129
3,1,3,7,22,35.06,53.9129
3,1,3,7,23,34.52,53.9129
3,1,3,7,24,33.8,53.9129
4,1,4,1,1,30.74,53.8058
4,1,4,1,2,30.92,53.8058
4,1,4,1,3,30.56,53.8058
4,1,4,1,4,30.02,53.8058
4,1,4,1,5,30.74,53.8058
4,1,4,1,6,28.76,53.8058
4,1,4,1,7,28.22,53.8058
4,1,4,1,8,29.48,53.8058
4,1,4,1,9,34.52,53.8058
4,1,4,1,10,38.48,53.8058
4,1,4,1,11,42.62,53.8058
4,1,4,1,12,46.22,53.8058
4,1,4,1,13,48.2,53.8058
4,1,4,1,14,48.92,53.8058
4,1,4,1,15,48.74,53.8058
4,1,4,1,16,47.66,53.8058
4,1,4,1,17,45.86,53.8058
4,1,4,1,18,44.78,53.8058
4,1,4,1,19,43.88,53.8058
4,1,4,1,20,41.9,53.8058
4,1,4,1,21,41,53.8058
4,1,4,1,22,41,53.8058
4,1,4,1,23,40.82,53.8058
4,1,4,1,24,39.92,53.8058
5,1,5,2,1,39.74,53.7234
5,1,5,2,2,38.84,53.7234
5,1,5,2,3,37.94,53.7234
5,1,5,2,4,37.76,53.7234
5,1,5,2,5,36.68,53.7234
5,1,5,2,6,33.8,53.7234
5,1,5,2,7,32.9,53.7234
5,1,5,2,8,31.82,53.7234
5,1,5,2,9,38.3,53.7234
5,1,5,2,10,41.54,53.7234
5,1,5,2,11,45.14,53.7234
5,1,5,2,12,46.22,53.7234
5,1,5,2,13,48.2,53.7234
5,1,5,2,14,50.18,53.7234
5,1,5,2,15,51.08,53.7234
5,1,5,2,16,50.54,53.7234
5,1,5,2,17,48.74,53.7234
5,1,5,2,18,46.4,53.7234
5,1,5,2,19,41.9,53.7234
5,1,5,2,20,40.82,53.7234
5,1,5,2,21,39.92,53.7234
5,1,5,2,22,40.1,53.7234
5,1,5,2,23,41.9,53.7234
5,1,5,2,24,39.92,53.7234
6,1,6,3,1,40.1,53.6125
6,1,6,3,2,41.18,53.6125
6,1,6,3,3,42.08,53.6125
6,1,6,3,4,42.26,53.6125
6,1,6,3,5,42.8,53.6125
6,1,6,3,6,42.26,53.6125
6,1,6,3,7,42.98,53.6125
6,1,6,3,8,43.16,53.6125
6,1,6,3,9,45.14,53.6125
6,1,6,3,10,46.4,53.6125
6,1,6,3,11,48.74,53.6125
6,1,6,3,12,48.2,53.6125
6,1,6,3,13,48.92,53.6125
6,1,6,3,14,48.92,53.6125
6,1,6,3,15,48.92,53.6125
6,1,6,3,16,48.74,53.6125
6,1,6,3,17,48.38,53.6125
6,1,6,3,18,48.02,53.6125
6,1,6,3,19,47.84,53.6125
6,1,6,3,20,46.94,53.6125
6,1,6,3,21,46.76,53.6125
6,1,6,3,22,46.04,53.6125
6,1,6,3,23,45.86,53.6125
6,1,6,3,24,44.96,53.6125
7,1,7,4,1,44.78,53.504
7,1,7,4,2,46.04,53.504
7,1,7,4,3,46.22,53.504
7,1,7,4,4,46.76,53.504
7,1,7,4,5,45.86,53.504
7,1,7,4,6,45.14,53.504
7,1,7,4,7,46.94,53.504
7,1,7,4,8,47.12,53.504
7,1,7,4,9,49.1,53.504
7,1,7,4,10,50.18,53.504
7,1,7,4,11,52.16,53.504
7,1,7,4,12,54.14,53.504
7,1,7,4,13,55.22,53.504
7,1,7,4,14,56.12,53.504
7,1,7,4,15,56.48,53.504
7,1,7,4,16,54.32,53.504
7,1,7,4,17,52.16,53.504
7,1,7,4,18,50,53.504
7,1,7,4,19,50,53.504
7,1,7,4,20,50,53.504
7,1,7,4,21,49.82,53.504
7,1,7,4,22,48.2,53.504
7,1,7,4,23,48.56,53.504
7,1,7,4,24,47.12,53.504
8,1,8,5,1,48.02,53.4247
8,1,8,5,2,48.02,53.4247
8,1,8,5,3,48.02,53.4247
8,1,8,5,4,48.74,53.4247
8,1,8,5,5,48.02,53.4247
8,1,8,5,6,47.84,53.4247
8,1,8,5,7,46.22,53.4247
8,1,8,5,8,49.1,53.4247
8,1,8,5,9,50.54,53.4247
8,1,8,5,10,52.16,53.4247
8,1,8,5,11,53.96,53.4247
8,1,8,5,12,56.48,53.4247
8,1,8,5,13,59.54,53.4247
8,1,8,5,14,55.76,53.4247
8,1,8,5,15,54.86,53.4247
8,1,8,5,16,54.68,53.4247
8,1,8,5,17,53.96,53.4247
8,1,8,5,18,53.78,53.4247
8,1,8,5,19,51.8,53.4247
8,1,8,5,20,49.82,53.4247
8,1,8,5,21,48.74,53.4247
8,1,8,5,22,48.2,53.4247
8,1,8,5,23,48.02,53.4247
8,1,8,5,24,47.84,53.4247
9,1,9,6,1,46.58,53.3217
9,1,9,6,2,46.58,53.3217
9,1,9,6,3,46.94,53.3217
9,1,9,6,4,46.04,53.3217
9,1,9,6,5,46.04,53.3217
9,1,9,6,6,46.94,53.3217
9,1,9,6,7,46.94,53.3217
9,1,9,6,8,46.94,53.3217
9,1,9,6,9,46.94,53.3217
9,1,9,6,10,46.76,53.3217
9,1,9,6,11,48.38,53.3217
9,1,9,6,12,51.26,53.3217
9,1,9,6,13,53.24,53.3217
9,1,9,6,14,53.96,53.3217
9,1,9,6,15,53.96,53.3217
9,1,9,6,16,54.14,53.3217
9,1,9,6,17,53.78,53.3217
9,1,9,6,18,53.06,53.3217
9,1,9,6,19,53.06,53.3217
9,1,9,6,20,53.24,53.3217
9,1,9,6,21,53.24,53.3217
9,1,9,6,22,53.24,53.3217
9,1,9,6,23,53.78,53.3217
9,1,9,6,24,51.98,53.3217
10,1,10,7,1,50.9,53.1821
10,1,10,7,2,50.18,53.1821
10,1,10,7,3,50.9,53.1821
10,1,10,7,4,50,53.1821
10,1,10,7,5,50,53.1821
10,1,10,7,6,50,53.1821
10,1,10,7,7,50,53.1821
10,1,10,7,8,50,53.1821
10,1,10,7,9,51.26,53.1821
10,1,10,7,10,51.98,53.1821
10,1,10,7,11,55.22,53.1821
10,1,10,7,12,57.2,53.1821
10,1,10,7,13,59.18,53.1821
10,1,10,7,14,60.08,53.1821
10,1,10,7,15,59.9,53.1821
10,1,10,7,16,59.36,53.1821
10,1,10,7,17,57.92,53.1821
10,1,10,7,18,56.84,53.1821
10,1,10,7,19,54.5,53.1821
10,1,10,7,20,50.9,53.1821
10,1,10,7,21,50,53.1821
10,1,10,7,22,50,53.1821
10,1,10,7,23,50,53.1821
10,1,10,7,24,49.82,53.1821
11,1,11,1,1,48.02,53.1081
11,1,11,1,2,48.2,53.1081
11,1,11,1,3,48.74,53.1081
11,1,11,1,4,47.12,53.1081
11,1,11,1,5,48.02,53.1081
11,1,11,1,6,48.02,53.1081
11,1,11,1,7,46.94,53.1081
11,1,11,1,8,46.94,53.1081
11,1,11,1,9,46.94,53.1081
11,1,11,1,10,48.02,53.1081
11,1,11,1,11,50,53.1081
11,1,11,1,12,57.2,53.1081
11,1,11,1,13,59,53.1081
11,1,11,1,14,59,53.1081
11,1,11,1,15,59,53.1081
11,1,11,1,16,57.02,53.1081
11,1,11,1,17,55.4,53.1081
11,1,11,1,18,53.42,53.1081
11,1,11,1,19,49.64,53.1081
11,1,11,1,20,48.92,53.1081
11,1,11,1,21,48.92,53.1081
11,1,11,1,22,48.38,53.1081
11,1,11,1,23,49.1,53.1081
11,1,11,1,24,50,53.1081
12,1,12,2,1,48.92,53.0525
12,1,12,2,2,48.02,53.0525
12,1,12,2,3,46.94,53.0525
12,1,12,2,4,46.94,53.0525
12,1,12,2,5,46.94,53.0525
12,1,12,2,6,46.94,53.0525
12,1,12,2,7,46.94,53.0525
12,1,12,2,8,46.94,53.0525
12,1,12,2,9,46.94,53.0525
12,1,12,2,10,46.94,53.0525
12,1,12,2,11,48.02,53.0525
12,1,12,2,12,48.92,53.0525
12,1,12,2,13,50,53.0525
12,1,12,2,14,50.18,53.0525
