"TDSv30 V01R12 V01 R12 EGLASS20 NGAS PVSTD  /  Proposed  /  2022_CZ16_2100ft2_Std_3_BR_HPWH_NEEA.ribd22  /  C:/Users/sbecker/IECC HPWH Runs/inlet_ambient_air_temp/2022_CZ16_2100ft2_Std_3_BR_HPWH_NEEA - batch/",001
"Mon 20-Dec-21   4:25:54 pm"
"DHWhr","Hour"
"Julien","Mo","Day","DOWH","Hour","t_outdoor_drybulb","t_Inlet"
1,1,1,8,1,26.06,45.681
1,1,1,8,2,27.68,45.681
1,1,1,8,3,28.04,45.681
1,1,1,8,4,27.5,45.681
1,1,1,8,5,28.94,45.681
1,1,1,8,6,28.94,45.681
1,1,1,8,7,28.04,45.681
1,1,1,8,8,28.04,45.681
1,1,1,8,9,28.04,45.681
1,1,1,8,10,27.86,45.681
1,1,1,8,11,27.68,45.681
1,1,1,8,12,27.5,45.681
1,1,1,8,13,27.5,45.681
1,1,1,8,14,27.32,45.681
1,1,1,8,15,27.14,45.681
1,1,1,8,16,26.96,45.681
1,1,1,8,17,26.96,45.681
1,1,1,8,18,26.96,45.681
1,1,1,8,19,26.96,45.681
1,1,1,8,20,26.6,45.681
1,1,1,8,21,26.42,45.681
1,1,1,8,22,26.42,45.681
1,1,1,8,23,26.24,45.681
1,1,1,8,24,26.06,45.681
2,1,2,6,1,26.06,45.5444
2,1,2,6,2,25.88,45.5444
2,1,2,6,3,25.88,45.5444
2,1,2,6,4,25.7,45.5444
2,1,2,6,5,25.52,45.5444
2,1,2,6,6,25.88,45.5444
2,1,2,6,7,25.16,45.5444
2,1,2,6,8,25.16,45.5444
2,1,2,6,9,24.98,45.5444
2,1,2,6,10,24.8,45.5444
2,1,2,6,11,24.8,45.5444
2,1,2,6,12,24.8,45.5444
2,1,2,6,13,24.98,45.5444
2,1,2,6,14,26.06,45.5444
2,1,2,6,15,26.06,45.5444
2,1,2,6,16,24.98,45.5444
2,1,2,6,17,24.62,45.5444
2,1,2,6,18,24.8,45.5444
2,1,2,6,19,24.8,45.5444
2,1,2,6,20,24.8,45.5444
2,1,2,6,21,24.8,45.5444
2,1,2,6,22,23.54,45.5444
2,1,2,6,23,22.28,45.5444
2,1,2,6,24,21.2,45.5444
3,1,3,7,1,20.84,45.3941
3,1,3,7,2,19.58,45.3941
3,1,3,7,3,19.94,45.3941
3,1,3,7,4,19.76,45.3941
3,1,3,7,5,17.96,45.3941
3,1,3,7,6,17.78,45.3941
3,1,3,7,7,17.06,45.3941
3,1,3,7,8,17.42,45.3941
3,1,3,7,9,20.12,45.3941
3,1,3,7,10,22.1,45.3941
3,1,3,7,11,23.18,45.3941
3,1,3,7,12,24.26,45.3941
3,1,3,7,13,25.16,45.3941
3,1,3,7,14,25.88,45.3941
3,1,3,7,15,24.98,45.3941
3,1,3,7,16,24.44,45.3941
3,1,3,7,17,23.9,45.3941
3,1,3,7,18,22.82,45.3941
3,1,3,7,19,21.38,45.3941
3,1,3,7,20,21.74,45.3941
3,1,3,7,21,20.84,45.3941
3,1,3,7,22,19.76,45.3941
3,1,3,7,23,19.04,45.3941
3,1,3,7,24,18.86,45.3941
4,1,4,1,1,18.14,45.0934
4,1,4,1,2,19.94,45.0934
4,1,4,1,3,20.12,45.0934
4,1,4,1,4,20.84,45.0934
4,1,4,1,5,19.94,45.0934
4,1,4,1,6,20.12,45.0934
4,1,4,1,7,21.02,45.0934
4,1,4,1,8,21.02,45.0934
4,1,4,1,9,21.92,45.0934
4,1,4,1,10,25.16,45.0934
4,1,4,1,11,26.78,45.0934
4,1,4,1,12,25.16,45.0934
4,1,4,1,13,26.24,45.0934
4,1,4,1,14,26.42,45.0934
4,1,4,1,15,26.96,45.0934
4,1,4,1,16,26.78,45.0934
4,1,4,1,17,25.88,45.0934
4,1,4,1,18,24.8,45.0934
4,1,4,1,19,23.9,45.0934
4,1,4,1,20,23,45.0934
4,1,4,1,21,23,45.0934
4,1,4,1,22,23.18,45.0934
4,1,4,1,23,25.16,45.0934
4,1,4,1,24,26.06,45.0934
5,1,5,2,1,26.24,44.88
5,1,5,2,2,28.22,44.88
5,1,5,2,3,29.12,44.88
5,1,5,2,4,31.1,44.88
5,1,5,2,5,32.18,44.88
5,1,5,2,6,32.9,44.88
5,1,5,2,7,32.18,44.88
5,1,5,2,8,33.44,44.88
5,1,5,2,9,36.14,44.88
5,1,5,2,10,38.12,44.88
5,1,5,2,11,40.28,44.88
5,1,5,2,12,41.54,44.88
5,1,5,2,13,38.12,44.88
5,1,5,2,14,39.74,44.88
5,1,5,2,15,39.2,44.88
5,1,5,2,16,39.02,44.88
5,1,5,2,17,38.84,44.88
5,1,5,2,18,37.94,44.88
5,1,5,2,19,37.94,44.88
5,1,5,2,20,37.76,44.88
5,1,5,2,21,37.04,44.88
5,1,5,2,22,36.86,44.88
5,1,5,2,23,36.14,44.88
5,1,5,2,24,36.86,44.88
6,1,6,3,1,36.32,44.823
6,1,6,3,2,38.84,44.823
6,1,6,3,3,37.22,44.823
6,1,6,3,4,38.12,44.823
6,1,6,3,5,38.66,44.823
6,1,6,3,6,35.42,44.823
6,1,6,3,7,32,44.823
6,1,6,3,8,34.16,44.823
6,1,6,3,9,36.14,44.823
6,1,6,3,10,38.12,44.823
6,1,6,3,11,39.2,44.823
6,1,6,3,12,39.92,44.823
6,1,6,3,13,39.74,44.823
6,1,6,3,14,37.94,44.823
6,1,6,3,15,38.12,44.823
6,1,6,3,16,38.3,44.823
6,1,6,3,17,38.84,44.823
6,1,6,3,18,37.76,44.823
6,1,6,3,19,36.86,44.823
6,1,6,3,20,35.06,44.823
6,1,6,3,21,34.7,44.823
6,1,6,3,22,32,44.823
6,1,6,3,23,30.2,44.823
6,1,6,3,24,30.2,44.823
7,1,7,4,1,30.02,44.8082
7,1,7,4,2,30.02,44.8082
7,1,7,4,3,30.02,44.8082
7,1,7,4,4,30.02,44.8082
7,1,7,4,5,30.02,44.8082
7,1,7,4,6,30.02,44.8082
7,1,7,4,7,30.92,44.8082
7,1,7,4,8,30.92,44.8082
7,1,7,4,9,32,44.8082
7,1,7,4,10,32,44.8082
7,1,7,4,11,32,44.8082
7,1,7,4,12,33.44,44.8082
7,1,7,4,13,34.16,44.8082
7,1,7,4,14,36.14,44.8082
7,1,7,4,15,37.76,44.8082
7,1,7,4,16,37.22,44.8082
7,1,7,4,17,35.96,44.8082
7,1,7,4,18,35.24,44.8082
7,1,7,4,19,35.78,44.8082
7,1,7,4,20,35.42,44.8082
7,1,7,4,21,35.96,44.8082
7,1,7,4,22,35.96,44.8082
7,1,7,4,23,36.32,44.8082
7,1,7,4,24,37.22,44.8082
8,1,8,5,1,38.12,44.7486
8,1,8,5,2,38.84,44.7486
8,1,8,5,3,37.76,44.7486
8,1,8,5,4,35.78,44.7486
8,1,8,5,5,35.6,44.7486
8,1,8,5,6,35.96,44.7486
8,1,8,5,7,37.04,44.7486
8,1,8,5,8,37.76,44.7486
8,1,8,5,9,42.26,44.7486
8,1,8,5,10,42.98,44.7486
8,1,8,5,11,42.98,44.7486
8,1,8,5,12,42.8,44.7486
8,1,8,5,13,44.24,44.7486
8,1,8,5,14,45.14,44.7486
8,1,8,5,15,46.22,44.7486
8,1,8,5,16,46.94,44.7486
8,1,8,5,17,46.94,44.7486
8,1,8,5,18,46.76,44.7486
8,1,8,5,19,46.04,44.7486
8,1,8,5,20,46.22,44.7486
8,1,8,5,21,46.76,44.7486
8,1,8,5,22,46.22,44.7486
8,1,8,5,23,47.12,44.7486
8,1,8,5,24,48.2,44.7486
9,1,9,6,1,48.92,44.732
9,1,9,6,2,48.92,44.732
9,1,9,6,3,48.92,44.732
9,1,9,6,4,48.92,44.732
9,1,9,6,5,48.74,44.732
9,1,9,6,6,48.02,44.732
9,1,9,6,7,48.02,44.732
9,1,9,6,8,48.02,44.732
9,1,9,6,9,48.02,44.732
9,1,9,6,10,47.84,44.732
9,1,9,6,11,46.76,44.732
9,1,9,6,12,44.96,44.732
9,1,9,6,13,45.14,44.732
9,1,9,6,14,46.76,44.732
9,1,9,6,15,45.86,44.732
9,1,9,6,16,44.06,44.732
9,1,9,6,17,41.72,44.732
9,1,9,6,18,38.66,44.732
9,1,9,6,19,35.6,44.732
9,1,9,6,20,36.14,44.732
9,1,9,6,21,38.12,44.732
9,1,9,6,22,39.2,44.732
9,1,9,6,23,39.92,44.732
9,1,9,6,24,39.92,44.732
10,1,10,7,1,40.1,44.6529
10,1,10,7,2,41.18,44.6529
10,1,10,7,3,42.26,44.6529
10,1,10,7,4,42.26,44.6529
10,1,10,7,5,42.08,44.6529
10,1,10,7,6,41.9,44.6529
10,1,10,7,7,41.18,44.6529
10,1,10,7,8,42.44,44.6529
10,1,10,7,9,45.32,44.6529
10,1,10,7,10,48.02,44.6529
10,1,10,7,11,47.84,44.6529
10,1,10,7,12,47.12,44.6529
10,1,10,7,13,48.2,44.6529
10,1,10,7,14,48.92,44.6529
10,1,10,7,15,48.74,44.6529
10,1,10,7,16,47.66,44.6529
10,1,10,7,17,46.22,44.6529
10,1,10,7,18,44.78,44.6529
10,1,10,7,19,42.98,44.6529
10,1,10,7,20,42.98,44.6529
10,1,10,7,21,42.98,44.6529
10,1,10,7,22,43.16,44.6529
10,1,10,7,23,44.06,44.6529
10,1,10,7,24,44.24,44.6529
11,1,11,1,1,44.78,44.4771
11,1,11,1,2,44.24,44.4771
11,1,11,1,3,46.22,44.4771
11,1,11,1,4,46.76,44.4771
11,1,11,1,5,46.04,44.4771
11,1,11,1,6,46.04,44.4771
11,1,11,1,7,45.86,44.4771
11,1,11,1,8,45.5,44.4771
11,1,11,1,9,49.28,44.4771
11,1,11,1,10,52.16,44.4771
11,1,11,1,11,53.06,44.4771
11,1,11,1,12,53.06,44.4771
11,1,11,1,13,53.06,44.4771
11,1,11,1,14,53.06,44.4771
11,1,11,1,15,52.88,44.4771
11,1,11,1,16,51.98,44.4771
11,1,11,1,17,50.9,44.4771
11,1,11,1,18,49.82,44.4771
11,1,11,1,19,47.84,44.4771
11,1,11,1,20,47.12,44.4771
11,1,11,1,21,48.02,44.4771
11,1,11,1,22,47.84,44.4771
11,1,11,1,23,46.76,44.4771
11,1,11,1,24,45.86,44.4771
12,1,12,2,1,44.24,44.3164
12,1,12,2,2,46.22,44.3164
12,1,12,2,3,46.94,44.3164
12,1,12,2,4,46.94,44.3164
12,1,12,2,5,46.76,44.3164
12,1,12,2,6,46.22,44.3164
12,1,12,2,7,46.76,44.3164
12,1,12,2,8,46.04,44.3164
12,1,12,2,9,46.22,44.3164
12,1,12,2,10,47.84,44.3164
12,1,12,2,11,46.94,44.3164
12,1,12,2,12,46.76,44.3164
12,1,12,2,13,46.4,44.3164
12,1,12,2,14,46.04,44.3164
12,1,12,2,15,46.22,44.3164
12,1,12,2,16,45.86,44.3164
12,1,12,2,17,45.86,44.3164
12,1,12,2,18,44.96,44.3164
12,1,12,2,19,45.14,44.3164
12,1,12,2,20,46.04,44.3164
12,1,12,2,21,45.86,44.3164
12,1,12,2,22,44.96,44.3164
12,1,12,2,23,44.78,44.3164
12,1,12,2,24,44.24,44.3164
13,1,13,3,1,44.96,44.168
13,1,13,3,2,45.14,44.168
13,1,13,3,3,46.94,44.168
13,1,13,3,4,46.76,44.168
13,1,13,3,5,45.86,44.168
13,1,13,3,6,44.96,44.168
13,1,13,3,7,45.14,44.168
13,1,13,3,8,46.4,44.168
13,1,13,3,9,49.28,44.168
13,1,13,3,10,51.08,44.168
13,1,13,3,11,51.26,44.168
13,1,13,3,12,51.98,44.168
13,1,13,3,13,51.98,44.168
13,1,13,3,14,51.8,44.168
13,1,13,3,15,51.08,44.168
13,1,13,3,16,50.9,44.168
13,1,13,3,17,49.82,44.168
13,1,13,3,18,48.56,44.168
13,1,13,3,19,45.86,44.168
13,1,13,3,20,44.24,44.168
13,1,13,3,21,45.14,44.168
13,1,13,3,22,46.04,44.168
13,1,13,3,23,46.04,44.168
13,1,13,3,24,45.86,44.168
14,1,14,4,1,44.96,44.1081
14,1,14,4,2,45.14,44.1081
14,1,14,4,3,47.12,44.1081
14,1,14,4,4,47.84,44.1081
14,1,14,4,5,45.86,44.1081
14,1,14,4,6,45.14,44.1081
14,1,14,4,7,46.04,44.1081
14,1,14,4,8,46.4,44.1081
14,1,14,4,9,48.92,44.1081
14,1,14,4,10,48.74,44.1081
14,1,14,4,11,48.2,44.1081
14,1,14,4,12,48.92,44.1081
14,1,14,4,13,48.92,44.1081
14,1,14,4,14,48.74,44.1081
14,1,14,4,15,46.76,44.1081
14,1,14,4,16,44.96,44.1081
14,1,14,4,17,43.34,44.1081
14,1,14,4,18,42.08,44.1081
14,1,14,4,19,41.9,44.1081
14,1,14,4,20,41.18,44.1081
14,1,14,4,21,42.08,44.1081
14,1,14,4,22,42.08,44.1081
14,1,14,4,23,42.26,44.1081
14,1,14,4,24,43.16,44.1081
15,1,15,5,1,43.52,43.9947
15,1,15,5,2,41.9,43.9947
