"TDSv30 V01R12 V01 R12 EGLASS20 NGAS PVSTD  /  Proposed  /  2022_CZ15_2100ft2_Std_3_BR_HPWH_NEEA.ribd22  /  C:/Users/sbecker/IECC HPWH Runs/inlet_ambient_air_temp/2022_CZ15_2100ft2_Std_3_BR_HPWH_NEEA - batch/",001
"Mon 20-Dec-21   4:25:15 pm"
"DHWhr","Hour"
"Julien","Mo","Day","DOWH","Hour","t_outdoor_drybulb","t_Inlet"
1,1,1,8,1,42.8,66.4996
1,1,1,8,2,47.3,66.4996
1,1,1,8,3,44.96,66.4996
1,1,1,8,4,42.62,66.4996
1,1,1,8,5,39.38,66.4996
1,1,1,8,6,41.18,66.4996
1,1,1,8,7,42.8,66.4996
1,1,1,8,8,43.16,66.4996
1,1,1,8,9,47.12,66.4996
1,1,1,8,10,51.98,66.4996
1,1,1,8,11,53.6,66.4996
1,1,1,8,12,53.6,66.4996
1,1,1,8,13,53.78,66.4996
1,1,1,8,14,55.4,66.4996
1,1,1,8,15,55.4,66.4996
1,1,1,8,16,55.22,66.4996
1,1,1,8,17,54.32,66.4996
1,1,1,8,18,53.42,66.4996
1,1,1,8,19,51.44,66.4996
1,1,1,8,20,48.2,66.4996
1,1,1,8,21,48.2,66.4996
1,1,1,8,22,48.02,66.4996
1,1,1,8,23,46.4,66.4996
1,1,1,8,24,46.4,66.4996
2,1,2,6,1,46.04,66.3876
2,1,2,6,2,42.8,66.3876
2,1,2,6,3,42.8,66.3876
2,1,2,6,4,42.62,66.3876
2,1,2,6,5,40.82,66.3876
2,1,2,6,6,39.38,66.3876
2,1,2,6,7,41.18,66.3876
2,1,2,6,8,43.52,66.3876
2,1,2,6,9,48.92,66.3876
2,1,2,6,10,53.78,66.3876
2,1,2,6,11,55.58,66.3876
2,1,2,6,12,57.2,66.3876
2,1,2,6,13,57.38,66.3876
2,1,2,6,14,58.82,66.3876
2,1,2,6,15,57.2,66.3876
2,1,2,6,16,56.84,66.3876
2,1,2,6,17,56.12,66.3876
2,1,2,6,18,55.22,66.3876
2,1,2,6,19,53.6,66.3876
2,1,2,6,20,53.6,66.3876
