1,2,3,4,5,6,7,8,9,10,11,12
4,3.388888889,5.277777778,5.166666667,5.555555556,6.75,6.555555556,5.944444444,3.166666667,5.111111111,4.5,4.222222222
3.944444444,2.833333333,4.166666667,4.777777778,5.611111111,5.722222222,6.444444444,4.722222222,4.555555556,5.111111111,4.444444444,3.944444444
4.055555556,2.833333333,4.333333333,5.166666667,5.111111111,5.25,6.833333333,6.555555556,4.5,4.666666667,3.944444444,4.222222222
4.111111111,2.888888889,4.555555556,5.944444444,4.833333333,5.277777778,6.583333333,5.888888889,4.555555556,5.222222222,3.388888889,4.555555556
4.5,3.611111111,4.722222222,6.166666667,5.055555556,5.583333333,6.611111111,5.722222222,4.777777778,6.611111111,4,5.111111111
4.833333333,3.277777778,4.388888889,5.888888889,5.611111111,6.277777778,6.611111111,6.888888889,5.333333333,6.777777778,5.388888889,4.666666667
5.555555556,3.944444444,5.5,6.888888889,5.5,5.638888889,7.472222222,6.944444444,6.722222222,6.888888889,6.5,5.277777778
5.666666667,5.222222222,6.055555556,6.111111111,4.5,5.194444444,5.083333333,5.388888889,4.777777778,7.333333333,6.166666667,6.944444444
4.666666667,3.222222222,3.5,3.833333333,2.833333333,3.111111111,3.194444444,3.888888889,4,4.777777778,3.666666667,5
2.222222222,1,0.833333333,1.277777778,0.277777778,1.194444444,1.333333333,1.611111111,2.166666667,1.722222222,1.444444444,2.555555556
1.388888889,0.166666667,0,-0.222222222,-0.722222222,-0.361111111,-0.416666667,-1.444444444,-0.888888889,0.055555556,-0.055555556,1.444444444
0.777777778,-0.777777778,-0.722222222,-1.5,-2.111111111,-2.111111111,-1.972222222,-2.5,-2.222222222,-1.666666667,-1,0.444444444
0.388888889,-0.777777778,-0.666666667,-2.333333333,-2.444444444,-2.666666667,-2.972222222,-3,-3.055555556,-2.777777778,-1.166666667,-0.166666667
0.055555556,-1.277777778,-1,-2.722222222,-3.166666667,-3.888888889,-3.722222222,-4.166666667,-4,-3.555555556,-1.555555556,-0.333333333
0.333333333,-0.944444444,-0.833333333,-3.111111111,-3.388888889,-4.222222222,-4.388888889,-3.222222222,-4.611111111,-3.611111111,-1.5,0
0.444444444,-1.111111111,-1.222222222,-2.944444444,-3.611111111,-3.722222222,-4.527777778,-2.777777778,-4.444444444,-4,-1.222222222,0.833333333
1.055555556,-0.722222222,-0.944444444,-2.333333333,-3.166666667,-3.444444444,-4.194444444,-3.722222222,-4.166666667,-3.555555556,-0.166666667,1.666666667
2.777777778,1.055555556,0.277777778,-1.444444444,-1.5,-2.527777778,-3,-3.055555556,-3.555555556,-2.111111111,2.166666667,3.222222222
3.222222222,2.555555556,1.833333333,0,-0.666666667,-1.222222222,-1.638888889,-1.833333333,-1.611111111,0.722222222,3.5,3.722222222
3.444444444,3.111111111,2.833333333,1.722222222,0.944444444,1.194444444,-0.083333333,0,1.055555556,3.5,4,3.611111111
3.666666667,3.111111111,3.888888889,3.5,3.444444444,3.666666667,2.527777778,2.666666667,2.277777778,4.611111111,3.777777778,3.5
3.944444444,3.722222222,4.555555556,4.444444444,4.888888889,5.527777778,5.194444444,4.944444444,3.666666667,4.833333333,4.666666667,3.777777778
3.555555556,2.944444444,3.888888889,4.611111111,5.111111111,6.25,5.777777778,4.888888889,4.055555556,5,4.5,3.555555556
4,4.222222222,5.555555556,5.166666667,5.833333333,6.583333333,6.25,6,3.666666667,4.833333333,4.5,4.444444444
